Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
dodjiesLearn,0.977,10.153,7.799,10318,-0.075
dodjiesLearn,0.976,18.631,6.856,10370,-0.074
dodjiesLearn,0.932,26.932,6.752,10258,-0.075
dodjiesLearn,0.920,35.065,6.590,10280,-0.093
dodjiesLearn,0.901,43.563,6.934,10368,-0.072
dodjiesLearn,0.915,51.574,6.468,10334,-0.055
dodjiesLearn,0.891,59.503,6.407,10370,-0.048
dodjiesLearn,0.901,67.313,6.277,10260,-0.041
dodjiesLearn,0.888,75.370,6.564,10274,-0.033
dodjiesLearn,0.900,83.674,6.749,10318,-0.026
dodjiesLearn,0.880,91.739,6.499,10258,-0.022
dodjiesLearn,0.908,99.752,6.500,10332,-0.017
dodjiesLearn,0.945,107.808,6.497,10272,-0.016
dodjiesLearn,0.906,115.890,6.543,10364,-0.030
dodjiesLearn,0.901,123.937,6.537,10334,-0.026
dodjiesLearn,0.875,132.015,6.496,10300,-0.022
dodjiesLearn,0.896,140.304,6.729,10292,-0.023
dodjiesLearn,0.916,148.187,6.381,10260,-0.031
dodjiesLearn,0.886,156.402,6.683,10328,-0.042
dodjiesLearn,0.937,164.413,6.499,10340,-0.064
dodjiesLearn,0.924,172.771,6.773,10424,-0.070
dodjiesLearn,0.896,180.740,6.453,10244,-0.072
dodjiesLearn,0.918,188.864,6.609,10328,-0.071
dodjiesLearn,0.946,197.204,6.734,10306,-0.073
dodjiesLearn,0.944,205.340,6.558,10362,-0.074
dodjiesLearn,0.924,213.264,6.407,10352,-0.073
dodjiesLearn,0.945,221.446,6.570,10350,-0.071
dodjiesLearn,0.949,229.626,6.575,10300,-0.072
dodjiesLearn,0.888,237.483,6.370,10268,-0.068
dodjiesLearn,0.872,245.410,6.421,10250,-0.066
dodjiesLearn,0.901,253.386,6.437,10360,-0.065
dodjiesLearn,0.914,261.460,6.545,10368,-0.064
dodjiesLearn,0.888,269.196,6.214,10348,-0.063
dodjiesLearn,0.930,277.553,6.757,10268,-0.060
dodjiesLearn,0.878,285.445,6.403,10354,-0.059
dodjiesLearn,0.911,293.269,6.286,10268,-0.057
dodjiesLearn,0.901,301.412,6.619,10310,-0.055
dodjiesLearn,0.873,309.422,6.519,10294,-0.053
dodjiesLearn,0.940,317.430,6.437,10288,-0.052
dodjiesLearn,0.879,325.562,6.639,10344,-0.051
dodjiesLearn,0.887,333.526,6.427,10354,-0.049
dodjiesLearn,0.891,341.589,6.511,10280,-0.047
dodjiesLearn,0.882,349.524,6.443,10308,-0.046
dodjiesLearn,0.891,357.694,6.628,10412,-0.044
dodjiesLearn,0.870,365.584,6.385,10304,-0.042
dodjiesLearn,0.871,373.517,6.439,10340,-0.041
dodjiesLearn,0.890,381.671,6.625,10272,-0.040
dodjiesLearn,0.868,392.216,9.054,10268,-0.039
dodjiesLearn,0.856,400.190,6.493,10306,-0.037
dodjiesLearn,1.048,408.512,6.627,10250,-0.036
dodjiesLearn,0.988,416.631,6.523,10284,-0.035
dodjiesLearn,0.870,424.779,6.612,10336,-0.034
dodjiesLearn,0.873,433.186,6.850,10260,-0.033
dodjiesLearn,0.933,441.364,6.620,10362,-0.032
dodjiesLearn,0.895,449.573,6.670,10288,-0.031
dodjiesLearn,0.932,457.871,6.710,10268,-0.030
dodjiesLearn,0.945,466.644,7.186,10298,-0.029
