Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
ReacherLearning,2.852,24.568,19.125,40020,0.235
ReacherLearning,2.738,46.910,17.542,40000,0.217
ReacherLearning,2.717,69.253,17.562,40000,0.219
ReacherLearning,2.747,91.627,17.636,40000,0.196
ReacherLearning,2.683,114.639,18.261,40000,0.187
ReacherLearning,2.705,136.889,17.510,40000,0.187
ReacherLearning,2.663,158.975,17.512,40000,0.179
ReacherLearning,2.670,181.229,17.529,40000,0.182
ReacherLearning,2.691,203.752,17.750,40000,0.187
ReacherLearning,2.842,226.783,18.159,40000,0.205
ReacherLearning,2.632,249.076,17.602,40000,0.210
ReacherLearning,2.706,271.756,17.959,40000,0.224
ReacherLearning,3.054,294.703,17.861,40000,0.240
ReacherLearning,2.649,317.731,18.300,40000,0.254
ReacherLearning,2.676,340.871,18.334,40000,0.267
ReacherLearning,2.665,363.402,17.867,40000,0.275
ReacherLearning,3.011,386.545,18.010,40000,0.282
ReacherLearning,2.618,409.594,18.328,40000,0.296
ReacherLearning,2.702,432.156,17.857,40000,0.301
ReacherLearning,2.711,454.764,17.819,40000,0.310
ReacherLearning,2.675,477.371,17.855,40000,0.326
ReacherLearning,2.924,500.527,18.222,40000,0.337
ReacherLearning,2.750,523.104,17.739,40000,0.346
ReacherLearning,2.663,545.699,17.842,40000,0.356
ReacherLearning,2.720,568.585,17.798,40000,0.363
ReacherLearning,2.718,592.018,18.570,40000,0.371
ReacherLearning,2.724,615.047,18.190,40000,0.385
ReacherLearning,2.822,637.992,18.038,40000,0.396
ReacherLearning,2.702,659.329,16.772,40000,0.412
ReacherLearning,2.399,687.045,23.604,40000,0.422
ReacherLearning,2.621,707.878,16.467,40000,0.432
ReacherLearning,2.402,729.510,17.321,40000,0.447
ReacherLearning,2.379,750.022,16.413,40000,0.457
ReacherLearning,2.402,770.427,16.322,40000,0.471
ReacherLearning,2.509,791.333,16.621,40000,0.485
ReacherLearning,2.401,813.495,17.793,40000,0.500
ReacherLearning,2.628,835.424,17.444,40000,0.508
ReacherLearning,2.651,858.019,17.950,40000,0.522
ReacherLearning,2.734,880.817,18.031,40000,0.532
ReacherLearning,2.702,903.790,18.283,40000,0.548
ReacherLearning,2.673,926.133,17.709,40000,0.563
ReacherLearning,2.582,948.894,18.142,40000,0.577
ReacherLearning,2.600,971.597,18.138,40000,0.588
ReacherLearning,2.607,994.014,17.809,40000,0.599
ReacherLearning,2.650,1016.377,17.745,40000,0.611
ReacherLearning,2.684,1038.759,17.719,40000,0.622
ReacherLearning,2.617,1061.225,17.864,40000,0.631
ReacherLearning,2.602,1084.391,18.528,40000,0.647
ReacherLearning,2.999,1107.590,18.230,40000,0.660
ReacherLearning,2.892,1131.768,18.698,40000,0.674
ReacherLearning,2.740,1154.674,18.203,40000,0.687
ReacherLearning,2.823,1177.371,17.926,40000,0.706
ReacherLearning,2.659,1199.662,17.690,40000,0.715
ReacherLearning,2.638,1222.313,18.022,40000,0.730
ReacherLearning,2.563,1244.473,17.621,40000,0.741
ReacherLearning,2.621,1266.663,17.541,40000,0.757
ReacherLearning,2.647,1289.059,17.769,40000,0.774
ReacherLearning,2.543,1311.115,17.564,40000,0.789
ReacherLearning,2.605,1333.483,17.808,40000,0.802
ReacherLearning,2.599,1355.788,17.748,40000,0.819
ReacherLearning,2.655,1377.998,17.605,40000,0.836
ReacherLearning,2.577,1400.137,17.617,40000,0.852
ReacherLearning,2.649,1422.511,17.733,40000,0.868
ReacherLearning,2.652,1444.970,17.824,40000,0.886
ReacherLearning,2.614,1467.335,17.775,40000,0.902
ReacherLearning,2.588,1489.753,17.817,40000,0.925
ReacherLearning,2.568,1511.776,17.553,40000,0.947
ReacherLearning,2.643,1534.072,17.674,40000,0.964
ReacherLearning,2.619,1557.159,18.509,40000,0.982
ReacherLearning,2.901,1579.828,17.832,40000,1.002
ReacherLearning,2.646,1601.928,17.462,40000,1.020
ReacherLearning,2.655,1623.893,17.364,40000,1.041
ReacherLearning,2.732,1646.226,17.677,40000,1.062
ReacherLearning,2.619,1669.097,18.296,40000,1.083
ReacherLearning,2.688,1692.857,18.654,40000,1.104
ReacherLearning,2.991,1716.576,18.748,40000,1.128
ReacherLearning,2.892,1740.506,18.989,40000,1.151
ReacherLearning,2.616,1762.794,17.797,40000,1.178
ReacherLearning,2.593,1785.393,18.038,40000,1.205
ReacherLearning,3.174,1808.461,17.860,40000,1.233
ReacherLearning,2.649,1831.454,18.181,40000,1.262
ReacherLearning,2.764,1854.335,18.128,40000,1.291
ReacherLearning,2.632,1876.967,17.995,40000,1.316
ReacherLearning,2.587,1899.557,18.023,40000,1.350
ReacherLearning,2.650,1922.303,18.069,40000,1.380
ReacherLearning,2.716,1945.056,18.047,40000,1.409
ReacherLearning,2.642,1967.853,18.157,40000,1.444
ReacherLearning,2.646,1990.533,17.999,40000,1.476
ReacherLearning,2.577,2013.947,18.848,40000,1.510
ReacherLearning,2.667,2036.581,17.988,40000,1.544
ReacherLearning,2.565,2059.013,17.844,40000,1.579
ReacherLearning,2.642,2081.646,17.973,40000,1.615
ReacherLearning,2.663,2104.305,18.023,40000,1.655
ReacherLearning,2.619,2126.975,18.033,40000,1.692
ReacherLearning,2.709,2149.945,18.205,40000,1.728
ReacherLearning,2.878,2173.624,18.774,40000,1.772
ReacherLearning,2.576,2196.504,18.321,40000,1.817
ReacherLearning,2.600,2219.555,18.448,40000,1.859
ReacherLearning,2.677,2241.939,17.763,40000,1.906
ReacherLearning,2.468,2264.575,17.897,40000,1.958
ReacherLearning,2.805,2288.113,18.699,40000,2.008
ReacherLearning,2.714,2311.182,18.331,40000,2.059
ReacherLearning,2.850,2334.418,18.339,40000,2.120
ReacherLearning,2.587,2357.284,18.259,40000,2.179
ReacherLearning,2.553,2379.379,17.615,40000,2.239
ReacherLearning,2.590,2401.532,17.646,40000,2.306
ReacherLearning,2.623,2423.705,17.632,40000,2.366
ReacherLearning,2.607,2446.079,17.842,40000,2.430
ReacherLearning,2.549,2468.283,17.690,40000,2.495
ReacherLearning,2.801,2491.515,18.466,40000,2.560
ReacherLearning,2.695,2514.653,18.427,40000,2.626
ReacherLearning,2.651,2537.077,17.784,40000,2.700
ReacherLearning,2.716,2559.604,17.898,40000,2.773
ReacherLearning,2.691,2581.976,17.739,40000,2.840
ReacherLearning,2.612,2604.208,17.679,40000,2.915
ReacherLearning,2.591,2626.445,17.709,40000,2.993
ReacherLearning,2.679,2648.796,17.743,40000,3.070
ReacherLearning,2.647,2671.443,17.994,40000,3.144
ReacherLearning,2.689,2693.911,17.857,40000,3.221
ReacherLearning,2.627,2716.396,17.918,40000,3.298
ReacherLearning,2.811,2738.748,17.657,40000,3.375
ReacherLearning,2.541,2759.649,16.626,40000,3.453
