Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
toucher,0.724,10.170,7.587,10530,nan
toucher,0.692,19.441,7.418,10530,nan
toucher,0.698,27.834,6.614,10356,1.080
toucher,0.727,37.563,6.864,10523,15.617
toucher,0.649,45.992,6.556,10315,10.117
toucher,0.654,54.732,6.688,10565,9.462
toucher,0.632,63.031,6.484,10277,12.727
toucher,0.638,71.608,6.535,10305,12.098
toucher,0.654,79.770,6.315,10435,11.334
toucher,0.634,88.296,6.533,10315,9.180
toucher,0.625,96.756,6.614,10305,8.744
toucher,0.616,104.991,6.435,10280,7.721
toucher,0.702,113.650,6.647,10435,7.612
toucher,0.641,122.048,6.603,10315,6.433
toucher,0.639,130.675,6.541,10305,6.243
toucher,0.647,138.764,6.385,10435,6.122
toucher,0.638,147.286,6.506,10315,5.553
toucher,0.633,155.690,6.509,10305,5.493
toucher,0.647,163.942,6.342,10280,5.020
toucher,0.628,172.467,6.515,10435,4.896
toucher,0.632,180.776,6.458,10315,4.550
toucher,0.619,189.361,6.467,10305,4.466
toucher,0.626,197.448,6.392,10435,4.386
toucher,0.639,206.028,6.600,10315,4.086
toucher,0.651,214.502,6.581,10305,4.054
toucher,0.612,222.831,6.297,10245,5.260
toucher,0.633,231.210,6.466,10488,6.589
toucher,0.632,241.210,7.762,10259,7.466
toucher,0.637,250.040,6.642,10305,7.344
toucher,0.624,258.197,6.463,10435,7.234
toucher,0.615,266.686,6.586,10280,6.889
toucher,0.618,274.997,6.596,10305,6.772
toucher,0.636,283.266,6.312,10250,6.457
toucher,0.647,291.803,6.528,10500,6.375
toucher,0.659,300.209,6.482,10315,6.091
toucher,0.627,308.565,6.506,10275,7.048
toucher,0.621,317.036,6.786,10414,7.963
toucher,0.630,325.508,6.480,10345,7.684
toucher,0.615,333.763,6.560,10305,7.608
toucher,0.654,343.342,7.254,10250,7.238
toucher,0.629,351.569,6.561,10270,7.238
toucher,0.623,359.843,6.450,10250,6.905
toucher,0.642,368.407,6.639,10435,6.842
toucher,0.617,376.670,6.604,10275,6.703
toucher,0.628,385.001,6.405,10280,6.478
toucher,0.630,393.350,6.666,10435,6.432
toucher,0.635,401.866,6.550,10380,6.185
toucher,0.626,410.056,6.625,10270,6.185
toucher,0.683,418.548,6.516,10250,5.942
toucher,0.633,428.005,7.424,10305,5.890
toucher,0.670,436.423,6.631,10340,5.834
toucher,0.675,446.429,7.754,10306,6.376
toucher,0.674,455.355,7.023,10305,6.312
toucher,0.677,464.122,6.657,10250,6.101
toucher,0.634,472.826,6.948,10270,6.101
toucher,0.662,481.708,6.875,10250,5.891
toucher,0.728,490.771,7.132,10305,5.860
toucher,0.666,499.845,7.265,10275,5.766
toucher,0.624,509.069,6.903,10345,5.588
toucher,0.673,517.795,6.918,10251,6.170
toucher,0.670,526.920,6.964,10280,6.030
toucher,0.817,535.990,7.000,10305,6.001
toucher,0.928,546.629,8.176,10280,5.862
toucher,0.657,555.381,6.828,10294,6.357
toucher,0.617,563.838,6.732,10305,6.334
toucher,0.627,572.265,6.499,10280,6.190
toucher,0.661,580.729,6.618,10275,6.090
toucher,0.675,589.561,6.736,10280,6.003
toucher,0.641,598.312,6.965,10305,5.970
toucher,0.641,607.007,6.602,10256,6.387
toucher,0.893,616.244,6.998,10245,6.309
toucher,0.768,626.620,8.128,10246,6.794
toucher,0.673,636.306,7.669,10245,6.694
toucher,0.636,645.580,7.386,10245,6.612
toucher,0.797,654.765,6.879,10245,6.510
toucher,0.665,663.994,7.230,10305,6.489
toucher,0.669,673.798,7.606,10245,6.387
toucher,0.669,682.826,7.108,10245,6.303
toucher,0.626,691.224,6.571,10275,6.222
toucher,0.632,700.218,7.085,10245,6.141
toucher,0.678,708.927,6.801,10278,6.526
toucher,0.727,719.173,7.897,10245,6.437
toucher,1.044,731.175,8.797,10275,6.385
toucher,1.250,744.555,9.251,10275,6.342
toucher,0.653,754.143,7.316,10245,6.277
